ID,Onset Time,Duration,MIDI Note Number,Note Name,Fingering,ticks_per_beat,tempo,velocity
0,0.3,0.376,74,D5,5,120,480000,100
1,0.3,1,55,G3,-1,,,100
2,0.3,1,59,B3,-3,,,100
3,0.3,1,62,D4,-5,,,100
4,0.8,0.252,67,G4,1,,,100
5,1.052,0.248,69,A4,2,,,100
6,1.3,0.252,71,B4,3,,,100
7,1.3,0.5,57,A3,-4,,,100
8,1.552,0.248,72,C5,4,,,100
9,1.8,0.5,74,D5,5,,,100
10,1.8,1.5,59,B3,-3,,,100
11,2.3,0.376,67,G4,1,,,100
12,2.8,0.376,67,G4,1,,,100
13,3.3,0.376,76,E5,3,,,100
14,3.3,1.5,60,C4,-2,,,100
15,3.8,0.252,72,C5,1,,,100
16,4.052,0.248,74,D5,2,,,100
17,4.3,0.252,76,E5,3,,,100
18,4.552,0.248,78,F#5,4,,,100
19,4.8,0.5,79,G5,5,,,100
20,4.8,1.5,59,B3,-3,,,100
21,5.3,0.376,67,G4,1,,,100
22,5.8,0.376,67,G4,1,,,100
23,6.3,0.5,72,C5,4,,,100
24,6.3,1.5,57,A3,-4,,,100
25,6.8,0.252,74,D5,5,,,100
26,7.052,0.248,72,C5,4,,,100
27,7.3,0.252,71,B4,3,,,100
28,7.552,0.248,69,A4,2,,,100
29,7.8,0.5,71,B4,3,,,100
30,7.8,1.5,55,G3,-5,,,100
31,8.3,0.252,72,C5,4,,,100
32,8.552,0.248,71,B4,3,,,100
33,8.8,0.252,69,A4,2,,,100
34,9.052,0.248,67,G4,1,,,100
35,9.3,0.5,66,F#4,2,,,100
36,9.3,0.5,62,D4,-1,,,100
37,9.8,0.252,67,G4,1,,,100
38,9.8,0.5,59,B3,-3,,,100
39,10.052,0.248,69,A4,2,,,100
40,10.3,0.252,71,B4,3,,,100
41,10.3,0.5,55,G3,-5,,,100
42,10.552,0.248,67,G4,1,,,100
43,10.8,0.5,71,B4,3,,,100
44,10.8,0.5,62,D4,-1,,,100
45,11.3,0.252,50,D3,-5,,,100
46,11.3,1,69,A4,2,,,100
47,11.552,0.248,60,C4,-1,,,100
48,11.8,0.252,59,B3,-2,,,100
49,12.052,0.248,57,A3,-3,,,100
50,12.3,0.5,74,D5,5,,,100
51,12.3,1,59,B3,-2,,,100
52,12.8,0.252,67,G4,1,,,100
53,13.052,0.248,69,A4,2,,,100
54,13.3,0.252,71,B4,3,,,100
55,13.3,0.5,57,A3,-3,,,100
56,13.552,0.248,72,C5,4,,,100
57,13.8,0.5,74,D5,5,,,100
58,13.8,0.5,55,G3,-4,,,100
59,14.3,0.376,67,G4,1,,,100
60,14.3,0.376,59,B3,-2,,,100
61,14.8,0.376,67,G4,1,,,100
62,14.8,0.376,55,G3,-4,,,100
63,15.3,0.5,76,E5,3,,,100
64,15.3,1.5,60,C4,-1,,,100
65,15.8,0.252,72,C5,1,,,100
66,16.052,0.248,74,D5,2,,,100
67,16.3,0.252,76,E5,3,,,100
68,16.552,0.248,78,F#5,4,,,100
69,16.8,0.5,79,G5,5,,,100
70,16.8,0.5,59,B3,-2,,,100
71,17.3,0.252,60,C4,-1,,,100
72,17.3,0.376,67,G4,1,,,100
73,17.552,0.248,59,B3,-2,,,100
74,17.8,0.252,57,A3,-3,,,100
75,17.8,0.376,67,G4,1,,,100
76,18.052,0.248,55,G3,-4,,,100
77,18.3,0.5,72,C5,4,,,100
78,18.3,1,57,A3,-1,,,100
79,18.8,0.252,74,D5,5,,,100
80,19.052,0.248,72,C5,4,,,100
81,19.3,0.252,71,B4,3,,,100
82,19.3,0.5,54,F#3,-3,,,100
83,19.552,0.248,69,A4,2,,,100
84,19.8,0.5,71,B4,3,,,100
85,19.8,1,55,G3,-2,,,100
86,20.3,0.252,72,C5,4,,,100
87,20.552,0.248,71,B4,3,,,100
88,20.8,0.252,69,A4,2,,,100
89,20.8,0.5,59,B3,-1,,,100
90,21.052,0.248,67,G4,1,,,100
91,21.3,0.5,69,A4,2,,,100
92,21.3,0.5,60,C4,-2,,,100
93,21.8,0.252,71,B4,3,,,100
94,21.8,0.5,62,D4,-1,,,100
95,22.052,0.248,69,A4,2,,,100
96,22.3,0.252,67,G4,1,,,100
97,22.3,0.5,50,D3,-5,,,100
98,22.552,0.248,66,F#4,2,,,100
99,22.8,1,55,G3,-1,,,100
100,22.8,1.5,67,G4,3,,,100
101,23.8,0.376,43,G2,-5,,,100
102,24.3,0.376,74,D5,5,,,100
103,24.3,1,55,G3,-1,,,100
104,24.3,1,59,B3,-3,,,100
105,24.3,1,62,D4,-5,,,100
106,24.8,0.252,67,G4,1,,,100
107,25.052,0.248,69,A4,2,,,100
108,25.3,0.252,71,B4,3,,,100
109,25.3,0.5,57,A3,-4,,,100
110,25.552,0.248,72,C5,4,,,100
111,25.8,0.5,74,D5,5,,,100
112,25.8,1.5,59,B3,-3,,,100
113,26.3,0.376,67,G4,1,,,100
114,26.8,0.376,67,G4,1,,,100
115,27.3,0.376,76,E5,3,,,100
116,27.3,1.5,60,C4,-2,,,100
117,27.8,0.252,72,C5,1,,,100
118,28.052,0.248,74,D5,2,,,100
119,28.3,0.252,76,E5,3,,,100
